Country Name,Country Code,Indicator Clean Name,Indicator Code,Year,Value
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,375364
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,2.619526393
Least developed countries: UN classification,LDC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.053648809
Least developed countries: UN classification,LDC,Measles Immunization (%),SH.IMM.MEAS,2000,54.76444798
Least developed countries: UN classification,LDC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,55.40131099
Least developed countries: UN classification,LDC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,3428550
Low & middle income,LMY,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.939591558
Low & middle income,LMY,Measles Immunization (%),SH.IMM.MEAS,2000,68.95216255
Low & middle income,LMY,Life Expectancy (Years),SP.DYN.LE00.IN,2000,65.50264691
Low & middle income,LMY,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,9933242
Low & middle income,LMY,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.447370888
Low income,LIC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.728559548
Low income,LIC,Measles Immunization (%),SH.IMM.MEAS,2000,46.37513015
Low income,LIC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,53.56582668
Low income,LIC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1959072
Lower middle income,LMC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.95362878
Lower middle income,LMC,Measles Immunization (%),SH.IMM.MEAS,2000,61.02835828
Lower middle income,LMC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,61.06760398
Lower middle income,LMC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,6054878
Lower middle income,LMC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,0.927271625
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.244330453
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Measles Immunization (%),SH.IMM.MEAS,2000,73.83416837
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.22251382
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1073329
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.30232348
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Measles Immunization (%),SH.IMM.MEAS,2000,72.6206536
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,65.63684715
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1060424
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.25960508
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Measles Immunization (%),SH.IMM.MEAS,2000,72.4365127
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Life Expectancy (Years),SP.DYN.LE00.IN,2000,65.6072409
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1056803
Middle income,MIC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.96267929
Middle income,MIC,Measles Immunization (%),SH.IMM.MEAS,2000,72.25632641
Middle income,MIC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.51902939
Middle income,MIC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,7580341
Middle income,MIC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.45964021
North America,NAC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,12.20270174
North America,NAC,Measles Immunization (%),SH.IMM.MEAS,2000,91.41825471
North America,NAC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,76.88503324
North America,NAC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,35029
North America,NAC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,10.16155533
OECD members,OED,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,9.312218604
OECD members,OED,Measles Immunization (%),SH.IMM.MEAS,2000,91.11679622
OECD members,OED,Life Expectancy (Years),SP.DYN.LE00.IN,2000,76.8195166
OECD members,OED,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,222505
OECD members,OED,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,7.122550971
Other small states,OSS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.453001051
Other small states,OSS,Measles Immunization (%),SH.IMM.MEAS,2000,80.63078278
Other small states,OSS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.43853654
Other small states,OSS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,14563
Pacific island small states,PSS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.769699228
Pacific island small states,PSS,Measles Immunization (%),SH.IMM.MEAS,2000,83.65240802
Pacific island small states,PSS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.89148328
Pacific island small states,PSS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1702
Pacific island small states,PSS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.946732206
Post-demographic dividend,PST,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,9.549137603
Post-demographic dividend,PST,Measles Immunization (%),SH.IMM.MEAS,2000,90.89964291
Post-demographic dividend,PST,Life Expectancy (Years),SP.DYN.LE00.IN,2000,77.35137565
Post-demographic dividend,PST,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,84284
Post-demographic dividend,PST,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,8.135341732
Pre-demographic dividend,PRE,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.30479088
Pre-demographic dividend,PRE,Measles Immunization (%),SH.IMM.MEAS,2000,49.86641462
Pre-demographic dividend,PRE,Life Expectancy (Years),SP.DYN.LE00.IN,2000,51.74984179
Pre-demographic dividend,PRE,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,3584717
Small states,SST,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.002648144
Small states,SST,Measles Immunization (%),SH.IMM.MEAS,2000,83.48960022
Small states,SST,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.98810184
Small states,SST,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,18685
Small states,SST,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,3.366486391
South Asia,SAS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.874823515
South Asia,SAS,Measles Immunization (%),SH.IMM.MEAS,2000,58.92939394
South Asia,SAS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,62.80363052
South Asia,SAS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,3022928
South Asia,SAS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,0.741629707
South Asia (IDA & IBRD),TSA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.874823515
South Asia (IDA & IBRD),TSA,Measles Immunization (%),SH.IMM.MEAS,2000,58.92939394
South Asia (IDA & IBRD),TSA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,62.80363052
South Asia (IDA & IBRD),TSA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,3022928
South Asia (IDA & IBRD),TSA,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,0.741629707
Sub-Saharan Africa,SSF,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.892107031
Sub-Saharan Africa,SSF,Measles Immunization (%),SH.IMM.MEAS,2000,49.91975136
Sub-Saharan Africa,SSF,Life Expectancy (Years),SP.DYN.LE00.IN,2000,51.64378035
Sub-Saharan Africa,SSF,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,4090846
Sub-Saharan Africa (excluding high income),SSA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.892552527
Sub-Saharan Africa (excluding high income),SSA,Measles Immunization (%),SH.IMM.MEAS,2000,49.91693586
Sub-Saharan Africa (excluding high income),SSA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,51.64126136
Sub-Saharan Africa (excluding high income),SSA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,4090826
Sub-Saharan Africa (IDA & IBRD countries),TSS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.892107031
